2026-05-13 22:32:08.271000Z;prop001;ana;carlos;hola carlos quiero comprar
2026-05-13 22:32:48.591000Z;prop001;ana;carlos;hola carlos quiero comprar
2026-05-13 22:33:10.321000Z;prop001;ana;carlos;hola carlos quiero comprar
2026-05-13 23:27:14.347000Z;prop001;ana;carlos;hola carlos
2026-05-14 18:44:07.394000Z;porp002;ana;pedro;hola pedro como esta
2026-05-14 21:30:59.296000Z;porp002;ana;pedro;hola
2026-05-14 21:31:53.188000Z;porp002;ana;pedro;ola
2026-05-15 06:29:26.399000Z;prop002;ana;pedro;hola
2026-05-15 06:30:05.884000Z;prop002;pedro;pedro;hola ana como estas
2026-05-15 06:30:18.841000Z;prop002;ana;pedro;bien bien quiero negociar la casa en venta en armenia
2026-05-15 06:30:23.820000Z;prop002;pedro;pedro;wow! me alegra
2026-05-15 06:32:37.430000Z;prop002;ana;pedro;ds
2026-05-15 06:32:37.711000Z;prop002;ana;pedro;d
2026-05-15 06:32:37.905000Z;prop002;ana;pedro;s
2026-05-15 06:32:38.120000Z;prop002;ana;pedro;ds
2026-05-15 06:32:38.262000Z;prop002;ana;pedro;ds
2026-05-15 06:35:42.860000Z;prop002;ana;pedro;d
2026-05-15 06:35:44.979000Z;prop002;ana;pedro;d
2026-05-15 06:36:16.959000Z;prop002;pedro;pedro;hola
2026-05-15 06:36:21.046000Z;prop002;pedro;pedro;como estas
2026-05-15 06:55:58.444000Z;prop006;ana;arrendo;hola eso esta caro
2026-05-15 06:56:08.970000Z;prop006;arrendo;arrendo;.l.
2026-05-15 06:57:16.789000Z;prop006;ana;arrendo;hola
2026-05-15 06:57:22.100000Z;prop006;arrendo;arrendo;lnljl
